"Kevin De Leon", @kdleon
"Mark DeSaulnier", @MarkDeSaulnier
"Noreen Evans", @nmevans
"Mark Leno", @MarkLeno
"Ted Lieu", @tedlieu
"Fran Pavley", @SenatorPavley
"Curren Price", @currenpricejr
"Leland Yee", @LelandYee
"Toni Atkins", @toniatkins
"Jim Beall Jr.", @Jimbealljr
"Mike Naple", @mnaple, D, (staff for Marty Block,
"Susan Bonilla", @susanbonilla
"Julia Brownley", @JuliaBrownley
"Joan Buchanan", @JoanForAssembly
"Mike Beebe", @Beebe4Governor
"Jerry Brown", @JerryBrownGov
"John Hickenlooper", @hickforco
"Dan Malloy", @GovMalloyOffice
"Jack Markell", @GovernorMarkell
"Nathan Deal", @Governor_Deal, @GovernorDeal, @PressGovDeal
"Neil Abercrombie", @neilabercrombie
"Pat Quinn", @QuinnForIL
"Mitch Daniels", @mymanmitch
"Steve Beshear", @GovSteveBeshear, @BeshearAbramson
"Martin O'Malley", @GovernorOMalley
"Deval Patrick", @MassGovernor
"Mark Dayton", @govmarkdayton
"Jay Nixon", @MoGovJayNixon
"Brian Schweitzer",@brianschweitzer
"John Lynch", @NHforJohnLynch
"Andrew Cuomo", @nygovcuomo
"Beverly Perdue", @ncgovoffice
"Jack Dalrymple", @govdalrymple
"John Kitzhaber", @govkitz
"Dennis Daugaard", @dennisdaugaard, @SDGovDaugaard
"Peter Shumlin", @VTGovernor, @petershumlin
"Christine Gregoire", @govgregoire
"Earl Ray Tomblin", @wvgov
"Mark Darr", @ltgovmarkdarr, @markdarr
"Gavin Newsom", @gavinnewsom
"Nancy Wyman", @NancyWymanCT
"Matthew Denn", @LtGovMattDenn
"Brian Schatz", @brianschatz
"Sheila Simon", @sheilasimon
"Daniel Mongiardo", @LtGovKy, @Mongiardo2010
"Jay Dardenne", @JayDardenne
"Anthony Brown", @ltgovbrown
"Tim Murray", @TimMurray_MA
"John Edwards", @johnedwards
"Al Gore", @algore
"Joe Biden", @joebiden
"Barack Obama", @barackobama
"Tom Barrett", @Barrett4WI
"Alec Ross", @alecjross
"Chris Abele", @ChrisSAbele
"Cory Booker", @corybooker
"Mike Gravel", @MikeGravel
"Joe Trippi", @joetrippi
"Jennifer Granholm", @GovGranholm
"Bill Richardson", @GovRichardson
"Nancy Pelosi", @nancypelosi
"Jason Pollock", @Jason_Pollock
"Drudge Report", @Drudge_Report
"Heather Corinna", @heathercorinna
"Kristian Cardillo", @kcardillo84
"Richard Friedman", @rcfwilmette
"Voting Female", @VotingFemale
"HeadOvMetal", @headovmetal
"Alicia Samuels", @publichealthPR
"Game of Life", @TheGameOfLife
"TheNYGalavant", @TheNYGalavant
"Charles M. Blow", @CharlesMBlow
"Greg Brown", @drgwbrown
"Read the damn sign", @tadzwtfbbq
"Lissa Lee", @expetesso
"", @TerPoe
"Mark McMahon", @markroy53
"Beverley Perkins", @bossbev
"Mark D'Truth", @Truth247
"John Rickard", @jrbaltmd57
"Walkins", @ewalkins
"Gregory Walters", @Gregoryjames00
"Sara Hauschild", @BlessedSara
"Lane", @millershighlife
"Charyl", @Charyl
"Amanda Arnold", @ChicanoMagEnt
"barbie", @barbiesnow
"Laurie Flink", @VOTEDEM
"Eric Smith", @eric3446
"pr1ss", @pr1ss
"sam blankemeyer", @VWAimlessly
"Samantha Geneva", @greeneggsNsam23
"Catherine Read", @csread61
"Colin A Curtis", @ColinCurtisKS
"Brandon English", @brandonenglish
"Arthur Gies", @aegies
"Ariel Waldman", @arielwaldman
"Jeff Green", @Greenspeak
"DC Debbie", @DCdebbie
"Eileen Rivera", @eileentv
"Tom Merritt", @acedtect
"Roger Ebert", @ebertchicago
"Owen JJ Stone", @Ohdoctah
"Felicia Day", @feliciaday
"Jane McGonigal", @avantgame
"Jason Howell", @raygun01
"ShawnElliott", @ShawnElliott
"Cali Lewis", @CaliLewis
"David Ellis", @DavidEllis
"SeanaLyn", @SeanaLyn
"Veronica Belmont ", @Veronica
"Brian Ibbott", @Coverville
