"Sam Blakeslee", @samblakeslee
"Anthony Cannella", @anthonycannella
"Bill Emmerson", @BillEmmerson
"Jean Fuller", @JeanFuller
"Ted Gaines", @TedGaines
"Tom Harman", @SenTomHarman
"Bob Huff", @bobhuff99
"Doug LaMalfa", @DougLaMalfa
"Sharon Runner", @SharonRunner
"Tony Strickland", @TonyStrickland
"Mimi Walters", @mimiwalters
"Mark Wyland", @markwyland
"Katcho Achadjian", @KatchoAchadjian
"Robert Bentley", @GovernorBentley
"Sean Parnell", @AKGovParnell
"Jan Brewer", @govbrewer
"Rick Scott", @flgovscott
"Nathan Deal", @Governor_Deal, @GovernorDeal, @PressGovDeal
"Butch Otter", @ButchOtter
"Mitch Daniels", @mymanmitch
"Terry Branstad", @terrybranstad
"Sam Brownback", @govsambrownback
"Bobby Jindal", @BobbyJindal
"Paul LePage", @GovernorLePage, @lepage2010
"Rick Snyder", @onetoughnerd
"Haley Barbour", @HaleyBarbour
"Dave Heineman", @Gov_Heineman
"Brian Sandoval", @BrianSandoval
"Chris Christie", @GovChristie
"Susana Martinez", @Gov_Martinez
"Jack Dalrymple", @govdalrymple
"John Kasich", @JohnKasich
"Mary Fallin", @repmaryfallin, @MaryFallin, @GovMaryFallin
"Tom Corbett", @CorbettforGov
"Nikki Haley", @nikkihaley
"Dennis Daugaard", @dennisdaugaard, @SDGovDaugaard
"Bill Haslam", @billhaslam
"Rick Perry", @GovernorPerry, @TexGov
"Gary Herbert", @governorherbert
"Bob McDonnell", @bobmcdonnell, @GovernorVA
"Earl Ray Tomblin", @wvgov
"Scott Walker", @ScottKWalker, @GovWalker
"Matt Mead", @mattmeadforgov
"Mead Treadwell", @treadwell4ltgov
"Mark Darr", @ltgovmarkdarr, @markdarr
"Jennifer Carroll", @Carroll4LG
"Casey Cagle", @CaseyCagle
"Brad Little", @LtGovBradLittle
"Becky Skillman", @BeckySkillman
"Kim Reynolds", @KimReynoldsIA
"Jay Dardenne", @JayDardenne
"Phil Bryant", @PhilBryantMS
"Peter Kinder", @PeterKinder
"Brian Krolicki",@BrianKrolicki, R, (only one twe
"Kim Guadagno", @LtGovGuadagno
"Mary Taylor", @MaryTaylorOh
"Bob Ney", @bobney
"Alec Ross", @alecjross
"Fred Thompson", @fredthompson
"Dana Perino", @danaperino
"Kurt Bills", @KurtBills
"Karl Rove", @karlrove
"Mike Haridopolos", @MikeHaridopolos
"Newt Gingrich", @newtgingrich
"Paul Seale", @paulvseale
"Ryan Williams", @RyanGOP
"Stephen Hayes", @stephenfhayes
"David Brody", @TheBrodyFile
"Greg Copeland", @CopelandFor66
"Tim Pawlenty", @timpawlenty
"Sarah Palin", @sarahpalinusa
"Mark Sanford", @MarkSanford
"Arnold Schwarzenegger", @Schwazenegger
"Jon Huntsman Jr.", @JonHuntsman
"Mike Huckabee", @govmikehuckabee
"Bill Richardson", @GovRichardson
"Bob Riley", @GovernorRiley
"Laura Bush", @laurawbush
"Pat Meehan", @PatMeehanPA
"Bob Schaffer", @Bob_Schaffer
"Charlie Bass", @CharlieBassNH
"Mark Kirk", @SenatorKirk, @Kirk4Senate
"pourmecoffee", @pourmecoffee
"Joe Newby", @jnewby1956
"Michael Johnston", @m_johnston28
"Katy", @KatyinIndy
"Ron", @palinpal1
"Ian Struckhoff", @ian_x
"", @BoehnersBoner
"Rick Allen", @Aclobyrick
"StratePRO Consulting", @StratePRO
"Keith Appell", @keithcrc
"FrontPage Magazine", @fpmag
"libertyrant", @libertyrant
"Kenneth P. Vogel", @kenvogel
"Obamacare 411", @Obamacare411
"Jim Humbert", @JimHumbert
"pam caymol", @pamnsc
"Laces for LIFE", @BabyBlueLaces
"Evangelist Doug Wood", @churchofhope
"Bob A Gare Sr.", @gsspike
"GlennBack", @glennback
"michaelemlong", @michaelemlong
"Yan Gelman", @yansfo
"Truth Tweeter", @redostoneage
"infocyde", @infocyde
"Gene Taylor", @GeneTaylorUSA
"Erika Franzi", @JayneQPublic
"Mark Gibson", @markdgibson
"John K. Hall", @johnkhall
"Rachel Campos-Duffy", @RCamposDuffy
"Ron Miller", @TeamRonMiller
"Brian", @politicalcrunch
"GinnyD", @GinnyD
"Angelette Aviles", @Angelette
"Josh Rupley", @joshrupley
"Danny Laub", @dannylaub
"Brian Tomkins", @BrianTomkins
"Tanner Kane", @tannerk
"Jonathan Cousar", @JonathanCousar
"Kathy Salerno", @ksalerno
"Jill Bader", @jillbader
"Jean McIver", @jmciver
"Annette Bybee", @pitchforktorch
"Michele Coy Toole", @mctoole
"Ryan Stubenrauch", @Rstubenrauch
"brandootr", @brandootr
"Eagle Forum", @eagleforuminfo
"asper Drake", @jaspernv
"Linda", @lvgolfin
"StephanieSteele", @StephanieSteele
"Brian Dennert", @dennert
"Michelle Marini", @MichelleMarini
"Joshua VanTassel", @vantassel31
