"Aaron Schock",@repaaronschock
"Addison Wilson",@CongJoeWilson
"Ander Crenshaw",@AnderCrenshaw
"Anh Cao",@AnhJosephCao
"Bill Posey",@congbillposey
"Bill Shuster",@RepBillShuster
"Bob Corker",@SenBobCorker
"Brian Bilbray",@BilbrayCA50
"Candice Miller",@CandiceMiller
"Cathy McMorris-Rodgers",@cathymcmorris
"Charles Djou",@RepCharlesDjou
"Charles Grassley",@ChuckGrassley
"Christopher Lee",@chrislee_ny26
"Clifford Stearns",@RepCliffStearns
"Connie Mack",@RepConnieMack
"Cynthia Lummis",@CynthiaLummis
"Dana Rohrabacher",@DanaRohrabacher
"Dan Burton",@RepDanBurton
"Darrell Issa",@DarrellIssa
"David Camp",@RepDaveCamp
"David Reichert",@davereichert
"David Roe",@DrPhilRoe
"David Vitter",@DavidVitter
"Dean Heller",@DeanHeller
"Dennis Rehberg",@DennyRehberg
"Donald Manzullo",@donmanzullo
"Donald Young",@repdonyoung
"Elton Gallegly",@eltongallegly24
"Eric Cantor",@EricCantor
"Erik Paulsen",@Erik_Paulsen
"Gary Miller",@RepGaryMiller
"George LeMieux",@George_LeMieux
"George Radanovich",@RepRadanovich
"Glenn Thompson",@CongressmanGT
"Gregg Harper",@GreggHarper
"Greg Walden",@repgregwalden
"Gus Bilirakis",@RepGusBilirakis
"Howard McKeon",@BuckMcKeon
"Ileana Ros-Lehtinen",@IRL
info@davidvitter.com" />
"Jack Kingston",@JackKingston
"James Forbes",@Randy_Forbes
"James Inhofe",@jiminhofe
"James Jordan",@Jim_Jordan
"Jason Chaffetz",@jasoninthehouse
"Jefferson Sessions",@SenatorSessions
"Jeff Flake",@JeffFlake
"Jeff Fortenberry",@JeffFortenberry
"Jeff Miller",@CongJeffMiller
"Jerry Lewis",@RepJerryLewis
"Jerry Moran",@JerryMoran
"J. Gresham Barrett",@greshambarrett
"Jim DeMint",@JimDeMint
"Jim Gerlach",@JimGerlach
"Jo Ann Emerson",@JoAnnEmerson
"Joe Barton",@RepJoeBarton
"John Boehner",@johnboehner
"John Boozman",@JohnBoozman
"John Carter",@JudgeCarter
"John Cornyn",@JohnCornyn
"John Culberson",@johnculberson
"John Ensign",@JohnEnsign
"John Fleming",@RepFleming
"John McCain",@SenJohnMcCain
"John Shadegg",@RepJohnShadegg
"John Shimkus",@RepShimkus
"John Sullivan",@USRepSullivan
"John Thune",@johnthune
"Judy Biggert",@JudyBiggert
"Kay Granger",@RepKayGranger
"Ken Calvert",@KenCalvert
"Kenny Marchant",@RepKenMarchant
"Kevin Brady",@RepKevinBrady
"Kevin McCarthy",@kevinomccarthy
"Lamar Smith",@LamarSmithTX21
"Lee Terry",@LEETERRYNE
"Lindsey Graham",@GrahamBlog
"Lisa Murkowski",@lisamurkowski
"Lynn Jenkins",@RepLynnJenkins
"Mario Diaz-Balart",@MarioDB
"Mark Kirk",@markkirk
"Mary Bono Mack",@MaryBonoMack
"Mary Fallin",@RepMaryFallin
"Michael Burgess",@michaelcburgess
"Michael Castle",@repmikecastle
"Michael McCaul",@McCaulPressShop
"Michael Rogers",@RepMikeRogersAL
"Michele Bachmann",@MicheleBachmann
"Mike Coffman",@RepMikeCoffman
"Mike Pence",@RepMikePence
"Orrin Hatch",@OrrinHatch
"Parker Griffith",@Rep_P_Griffith
"Patrick McHenry",@PatrickMcHenry
"Paul Broun",@RepPaulBrounMD
"Paul Ryan",@RepPaulRyan
"Pete Olson",@PeteOlson
"Peter Hoekstra",@petehoekstra
"Peter King",@RepPeteKing
"Peter Roskam",@PeterRoskam
"Peter Sessions",@PeteSessions
"Phil Gingrey",@RepPhilGingrey
"Randy Neugebauer",@RandyNeugebauer
"Richard Burr",@burrforsenate
"Richard Lugar",@senatorlugar
"Richard Shelby",@RichardShelby
"Robert Aderholt",@Robert_Aderholt
"Robert Goodlatte",@RepGoodlatte
"Robert Inglis",@bobinglis
"Robert Latta",@boblatta
"Robert Wittman",@RobWittman
"Roger Wicker",@RogerWicker
"Ronald Paul",@RepRonPaul
"Roy Blunt",@RoyBlunt
"Samuel Brownback",@SenSamBrownback
"Scott Brown",@USSenScottBrown
"Spencer Bachus",@BachusAL06
"Steven Austria",@SteveAustria
"Sue Myrick",@SueMyrick
"Susan Collins",@senatorcollins
"Ted Poe",@JudgeTedPoe
"Thaddeus McCotter",@ThadMcCotter
"Thomas Coburn",@TomCoburn
"Thomas Latham",@TomLatham
"Thomas Price",@RepTomPrice
"Tim Murphy",@RepTimMurphy
"Todd Tiahrt",@RepToddTiahrt
"Tom McClintock",@RepMcClintock
"Tom Rooney",@TomRooney
"Trent Franks",@RepTrentFranks
"Vern Buchanan",@VernBuchanan
"Virginia Foxx",@virginiafoxx
"Walter Jones",@RepWalterJones
"William Cassidy",@DrCassidy
"W. Todd Akin",@ToddAkin
"Zach Wamp",@zachwamp
